"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.770731066827955E9,"2026-02-10 14:44:26.828 UTC+01:00"
"PAUSE",6.048053745832294E1,1.770731127308870E9,"2026-02-10 14:45:27.309 UTC+01:00"
